x,y,polarity,timestamp
221,324,1,41
164,263,1,41
295,271,0,42
314,271,1,43
338,299,0,43
283,282,1,43
318,271,1,43
173,275,1,44
285,283,1,45
314,302,0,46
167,268,1,46
182,284,1,47
198,260,1,47
181,251,1,47
343,294,0,624
178,314,0,624
207,260,1,626
261,262,1,627
196,315,0,628
225,299,0,628
350,291,0,628
176,269,0,628
166,261,1,628
277,327,1,628
235,343,1,629
311,297,0,629
203,255,0,629
279,282,1,629
229,314,0,629
303,274,1,631
309,257,0,631
169,334,0,631
195,248,0,632
181,293,0,632
174,268,0,632
195,335,0,633
608,453,0,633
602,444,0,634
278,255,1,634
162,317,0,635
282,300,0,635
198,334,1,635
171,254,1,635
209,306,1,636
187,271,0,636
314,255,1,636
175,297,0,636
307,299,0,637
299,253,1,638
219,346,1,639
234,255,0,639
175,276,1,639
234,253,0,639
288,275,1,640
162,311,0,640
184,269,1,640
161,316,0,640
180,279,1,640
303,267,1,640
207,322,0,641
189,346,0,642
307,252,1,642
218,328,1,643
284,300,0,643
190,272,0,644
265,311,1,644
303,257,0,645
170,333,0,645
219,315,0,645
226,349,1,646
172,311,1,646
171,267,0,646
237,287,0,647
245,338,1,647
293,276,1,647
198,314,0,648
298,253,1,649
193,310,1,649
161,315,0,649
238,328,0,650
219,251,1,650
291,276,1,651
233,333,0,651
254,328,1,652
190,312,1,652
261,319,1,652
169,263,1,652
314,274,1,653
197,283,0,653
306,257,0,654
205,248,0,654
219,252,1,654
293,272,0,654
180,267,1,655
172,305,1,655
264,259,1,655
240,297,0,655
352,292,0,657
220,244,0,657
307,280,1,657
296,253,1,657
207,309,0,658
181,268,1,658
209,310,0,658
329,267,0,658
329,300,0,658
237,329,0,659
224,340,1,662
215,310,1,662
240,323,1,663
167,260,1,663
264,313,1,663
198,312,0,664
332,279,0,664
180,270,0,664
190,289,0,665
238,340,1,665
168,303,0,665
327,284,0,667
279,255,1,667
310,269,1,667
301,258,0,667
205,253,0,668
178,270,0,668
169,333,0,668
233,341,1,670
321,256,1,670
215,244,0,671
269,322,1,672
227,297,0,673
188,290,0,673
225,333,1,673
187,253,0,674
346,288,0,674
193,245,0,675
237,315,1,675
182,297,0,675
305,302,0,676
305,304,0,676
322,289,1,677
327,293,0,678
303,261,1,678
266,338,1,678
323,300,0,679
312,301,0,680
287,273,0,680
256,288,1,680
233,343,1,680
345,287,0,681
282,289,1,681
237,330,0,682
176,295,0,682
161,311,0,682
305,277,1,683
279,254,1,683
243,315,0,683
202,259,1,684
